date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_vehicles,cpi_shelter
2000-01-01,169.3,179.3,165.6,115.0,153.9,190.6
2000-02-01,170.0,179.4,166.2,118.8,153.0,190.9
2000-03-01,171.0,180.0,166.5,124.3,153.0,191.6
2000-04-01,170.9,180.3,166.7,120.9,154.0,191.9
2000-05-01,171.2,180.7,167.3,120.0,155.4,192.4
2000-06-01,172.2,181.1,167.4,126.8,155.7,193.1
2000-07-01,172.7,181.5,168.3,127.3,155.3,193.6
2000-08-01,172.7,181.9,168.7,123.8,155.2,194.1
2000-09-01,173.6,182.3,168.9,129.2,156.2,194.7
2000-10-01,173.9,182.6,169.0,129.6,157.9,195.3
2000-11-01,174.2,183.1,169.2,129.2,159.3,195.8
2000-12-01,174.6,183.3,170.0,130.1,160.2,196.1
2001-01-01,175.6,183.9,170.3,135.0,160.4,196.8
2001-02-01,176.0,184.4,171.2,134.1,160.4,197.5
2001-03-01,176.1,184.7,171.7,131.7,159.9,198.3
2001-04-01,176.4,185.1,172.1,132.3,159.7,198.8
2001-05-01,177.3,185.3,172.4,138.4,159.1,199.6
2001-06-01,177.7,186.0,173.1,136.9,158.9,200.5
2001-07-01,177.4,186.4,173.6,129.6,158.3,200.9
2001-08-01,177.4,186.7,174.0,127.3,158.0,201.8
2001-09-01,178.1,187.1,174.2,130.9,157.3,202.0
2001-10-01,177.6,187.4,174.8,122.9,157.8,202.5
2001-11-01,177.5,188.1,174.9,116.9,157.4,203.5
2001-12-01,177.4,188.4,174.7,113.9,157.2,204.3
2002-01-01,177.7,188.7,175.3,114.2,155.6,205.1
2002-02-01,178.0,189.1,175.7,113.5,153.9,206.0
2002-03-01,178.5,189.2,176.1,117.6,152.1,206.3
2002-04-01,179.3,189.7,176.4,121.5,151.8,207.0
2002-05-01,179.5,190.0,175.8,121.9,151.8,207.4
2002-06-01,179.6,190.2,175.9,121.6,152.2,207.8
2002-07-01,180.0,190.5,176.1,122.4,152.7,208.2
2002-08-01,180.5,191.1,176.1,123.1,153.4,208.9
2002-09-01,180.8,191.3,176.5,123.7,152.2,209.4
2002-10-01,181.2,191.5,176.4,126.9,150.7,209.7
2002-11-01,181.5,191.9,176.9,126.7,148.8,210.4
2002-12-01,181.8,192.1,177.1,127.1,148.5,210.8
2003-01-01,182.6,192.4,177.1,133.5,148.3,211.5
2003-02-01,183.6,192.5,178.1,140.8,148.4,211.6
2003-03-01,183.9,192.5,178.4,143.9,148.5,211.5
2003-04-01,183.2,192.5,178.5,136.5,148.4,211.6
2003-05-01,182.9,192.9,178.8,129.4,147.9,212.6
2003-06-01,183.1,193.0,179.7,129.8,147.4,212.6
2003-07-01,183.7,193.4,179.8,132.2,145.7,213.2
2003-08-01,184.5,193.6,180.5,137.8,143.3,213.6
2003-09-01,185.1,193.7,180.9,142.9,139.0,214.0
2003-10-01,184.9,194.0,181.6,137.8,135.1,214.7
2003-11-01,185.0,194.0,182.6,136.9,132.0,215.1
2003-12-01,185.5,194.2,183.5,138.8,131.0,215.5
2004-01-01,186.3,194.6,183.4,143.9,131.8,215.9
2004-02-01,186.7,194.9,183.9,145.8,131.8,215.8
2004-03-01,187.1,195.5,184.2,145.1,131.8,217.0
2004-04-01,187.4,195.9,184.6,143.4,131.6,217.8
2004-05-01,188.2,196.2,186.1,147.6,131.8,218.5
2004-06-01,188.9,196.6,186.4,151.5,129.9,218.9
2004-07-01,189.1,196.8,186.8,151.1,130.9,219.3
2004-08-01,189.2,196.9,187.0,151.5,132.0,219.6
2004-09-01,189.8,197.5,186.9,152.9,135.5,220.4
2004-10-01,190.8,197.9,187.8,158.6,136.7,220.7
2004-11-01,191.7,198.3,188.4,163.8,137.7,220.9
2004-12-01,191.7,198.6,188.4,162.3,138.4,221.3
2005-01-01,191.6,199.0,188.7,157.2,138.6,221.7
2005-02-01,192.4,199.4,188.6,161.8,138.4,222.5
2005-03-01,193.1,200.1,189.1,163.5,138.3,223.7
